iter	Passed	Remaining
463	759	877
464	762	876
465	763	875
466	765	873
467	766	871
468	767	869
469	769	867
470	770	865
471	771	862
472	771	860
473	772	857
474	773	855
475	774	852
476	776	850
477	778	850
478	779	848
479	780	845
480	781	843
481	783	842
482	785	840
483	786	838
484	787	835
485	788	833
486	789	831
487	792	831
488	794	829
489	795	827
490	798	827
491	799	825
492	799	822
493	800	820
494	801	817
495	802	815
496	805	815
497	807	814
498	808	812
499	809	809
500	810	807
501	811	805
502	812	802
503	813	800
504	814	798
505	816	797
506	818	795
507	820	794
508	821	792
509	822	789
510	823	787
511	823	785
512	824	782
513	825	780
514	826	778
515	826	775
516	829	774
517	830	772
518	832	771
519	833	769
520	833	766
521	871	798
522	873	796
523	879	798
524	885	801
525	888	800
526	890	798
527	895	800
528	902	803
529	904	801
530	905	800
531	910	801
532	949	831
533	951	830
534	958	832
535	965	835
536	967	834
537	969	832
538	971	830
539	974	830
540	977	829
541	980	828
542	982	826
543	983	824
544	985	823
545	988	822
546	991	821
547	1011	833
548	1012	831
549	1013	829
550	1015	827
551	1018	826
552	1020	824
553	1022	823
554	1024	821
555	1025	818
556	1026	816
557	1027	813
558	1028	811
559	1029	809
560	1033	808
561	1034	806
562	1036	804
563	1038	802
564	1039	800
565	1040	797
566	1041	795
567	1042	792
568	1043	790
569	1044	787
570	1046	786
571	1047	784
572	1050	782
573	1051	780
574	1052	778
575	1053	775
576	1054	772
577	1055	770
578	1057	768
579	1058	766
580	1065	768
581	1067	766
582	1070	765
583	1071	763
584	1073	761
585	1075	759
586	1077	758
587	1079	756
588	1082	755
589	1083	753
590	1085	751
591	1086	748
592	1087	746
593	1088	744
594	1090	742
595	1092	740
596	1093	738
597	1095	736
598	1096	733
599	1097	731
600	1097	728
601	1098	726
602	1099	723
603	1100	721
604	1101	719
605	1102	716
606	1103	714
607	1103	711
608	1106	710
609	1107	708
610	1110	706
611	1111	704
612	1112	702
613	1113	699
614	1114	697
615	1115	695
616	1116	693
617	1117	690
618	1118	688
619	1119	686
620	1121	684
621	1124	683
622	1125	681
623	1126	678
624	1127	676
625	1128	674
626	1129	671
627	1130	669
628	1131	667
629	1132	664
630	1134	663
631	1136	661
632	1138	660
633	1139	658
634	1141	655
635	1141	653
636	1142	651
637	1143	648
638	1144	646
639	1145	644
640	1146	642
641	1147	639
642	1148	637
643	1150	635
644	1151	633
645	1153	631
646	1154	629
647	1155	627
648	1156	625
649	1156	622
650	1157	620
651	1158	618
652	1159	616
653	1160	613
654	1161	611
655	1162	609
656	1165	608
657	1166	606
658	1168	604
659	1169	602
660	1170	600
661	1171	597
662	1172	595
663	1172	593
664	1173	591
665	1174	589
666	1175	587
667	1176	584
668	1178	582
669	1179	581
670	1180	579
671	1181	576
672	1182	574
673	1184	572
674	1184	570
675	1185	568
676	1186	566
677	1187	563
678	1188	561
679	1189	559
680	1190	557
681	1190	555
682	1192	553
683	1193	551
684	1194	549
685	1195	547
686	1196	545
687	1197	543
688	1198	540
689	1199	538
690	1199	536
691	1200	534
692	1201	532
693	1202	530
694	1203	528
695	1204	525
696	1205	523
697	1205	521
698	1208	520
699	1210	518
700	1211	516
701	1212	514
702	1213	512
703	1214	510
704	1215	508
705	1216	506
706	1217	504
707	1217	502
708	1218	500
709	1219	498
710	1220	496
711	1221	493
712	1223	492
713	1224	490
714	1226	488
715	1226	486
716	1227	484
717	1228	482
718	1229	480
719	1230	478
720	1231	476
721	1231	474
722	1232	472
723	1233	470
724	1234	468
725	1235	466
726	1237	464
727	1239	463
728	1240	461
729	1241	459
730	1243	457
731	1243	455
732	1244	453
733	1245	451
734	1246	449
735	1247	447
736	1248	445
737	1249	443
738	1249	441
739	1252	439
740	1253	438
741	1254	436
742	1255	434
743	1256	432
744	1257	430
745	1258	428
746	1259	426
747	1260	424
748	1261	422
749	1262	420
750	1262	418
751	1263	416
752	1264	414
753	1265	412
754	1268	411
755	1270	410
756	1271	408
757	1272	406
758	1274	404
759	1274	402
760	1275	400
761	1276	398
762	1277	396
763	1278	394
764	1279	392
765	1281	391
766	1282	389
767	1284	388
768	1286	386
769	1287	384
770	1288	382
771	1288	380
772	1289	378
773	1290	376
774	1291	374
775	1291	372
776	1292	371
777	1293	369
778	1294	367
779	1295	365
780	1297	363
781	1298	362
782	1300	360
783	1301	358
784	1302	356
785	1303	354
786	1304	352
787	1304	351
788	1305	349
789	1306	347
790	1307	345
791	1308	343
792	1308	341
793	1310	340
794	1312	338
795	1314	336
796	1316	335
797	1317	333
798	1318	331
799	1319	329
800	1320	327
801	1321	326
802	1321	324
803	1322	322
804	1323	320
805	1325	319
806	1327	317
807	1328	315
808	1329	313
809	1330	312
810	1332	310
811	1333	308
812	1334	306
813	1335	305
814	1336	303
815	1337	301
816	1338	299
817	1341	298
818	1342	296
819	1345	295
820	1345	293
821	1346	291
822	1347	289
823	1348	288
824	1349	286
825	1350	284
826	1351	282
827	1352	280
828	1353	279
829	1354	277
830	1355	275
831	1357	274
832	1359	272
833	1361	270
834	1362	269
835	1363	267
836	1364	265
837	1365	263
838	1366	262
839	1367	260
840	1368	258
841	1370	257
842	1372	255
843	1374	253
844	1374	252
845	1375	250
846	1376	248
847	1377	246
848	1378	245
849	1379	243
850	1380	241
851	1381	239
852	1382	238
853	1383	236
854	1385	234
855	1386	233
856	1387	231
857	1388	229
858	1389	228
859	1390	226
860	1391	224
861	1392	222
862	1393	221
863	1394	219
864	1394	217
865	1395	215
866	1396	214
867	1397	212
868	1400	211
869	1402	209
870	1403	207
871	1403	206
872	1404	204
873	1405	202
874	1406	200
875	1407	199
876	1408	197
877	1408	195
878	1409	194
879	1410	192
880	1411	190
881	1412	188
882	1414	187
883	1415	185
884	1416	184
885	1417	182
886	1418	180
887	1419	179
888	1420	177
889	1421	175
890	1422	173
891	1422	172
892	1423	170
893	1424	168
894	1425	167
895	1426	165
896	1428	164
897	1429	162
898	1430	160
899	1432	159
900	1433	157
901	1434	155
902	1435	154
903	1436	152
904	1437	150
905	1438	149
906	1439	147
907	1439	145
908	1440	144
909	1441	142
910	1443	141
911	1445	139
912	1446	137
913	1447	136
914	1449	134
915	1450	133
916	1451	131
917	1452	129
918	1453	128
919	1453	126
920	1454	124
921	1455	123
922	1457	121
923	1458	119
924	1460	118
925	1461	116
926	1462	115
927	1463	113
928	1464	111
929	1465	110
930	1465	108
931	1466	107
932	1467	105
933	1468	103
934	1469	102
935	1469	100
936	1470	98
937	1472	97
938	1474	95
939	1475	94
940	1476	92
941	1477	90
942	1478	89
943	1479	87
944	1480	86
945	1481	84
946	1481	82
947	1482	81
948	1483	79
949	1484	78
950	1485	76
951	1487	74
952	1488	73
953	1490	71
954	1491	70
955	1492	68
956	1493	67
957	1493	65
958	1494	63
959	1495	62
960	1496	60
